course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
599504,Advanced Scalable Python Web Development Using Flask,https://www.udemy.com/advanced-python-flask/,True,120,1299,56,71,Intermediate Level,14.0,2016-08-11T22:09:24Z,Web Development
450068,Build a Photo Blog with Ruby on Rails,https://www.udemy.com/build-a-photo-blog-with-ruby-on-rails/,True,20,2281,32,21,Intermediate Level,1.5,2015-04-02T20:30:12Z,Web Development
382786,Sass Workflow,https://www.udemy.com/sass-workflow/,False,0,20890,945,21,Beginner Level,3.0,2015-02-06T15:54:23Z,Web Development
94432,Learn PHP Fundamentals From Scratch,https://www.udemy.com/learn-php-fundamentals-from-scratch/,False,0,48650,1236,9,Beginner Level,2.0,2013-10-16T08:12:40Z,Web Development
688872,XML For Absolute Beginners: Learn to create your own tags,https://www.udemy.com/xml-for-absolute-beginners-learn-to-create-your-own-tags/,True,75,1945,58,10,Beginner Level,1.0,2015-12-17T17:27:32Z,Web Development
297390,Joomla: Create a Joomla Website This Weekend With NO CODING!,https://www.udemy.com/joomla-create-a-joomla-website-this-weekend-with-no-coding/,False,0,18496,386,30,Beginner Level,2.0,2014-10-06T20:19:00Z,Web Development
988982,Laravel Deployment - Launch your Laravel Application Online,https://www.udemy.com/laravel-deployment/,False,0,4905,101,13,Intermediate Level,1.0,2016-10-22T20:12:05Z,Web Development
563668,Learn how to create a WordPress theme using Pinegrow,https://www.udemy.com/learn-how-to-create-a-wordpress-theme-using-pinegrow/,False,0,11812,152,19,Intermediate Level,2.0,2015-07-27T18:26:45Z,Web Development
335280,How to Safely Copy and Move Your WordPress Website,https://www.udemy.com/how-to-safely-copy-and-move-your-wordpress-website/,True,60,1419,38,20,Intermediate Level,1.5,2014-11-05T13:21:19Z,Web Development
688874,JSON For Beginners: A Very Basic Introduction,https://www.udemy.com/json-for-beginners-a-very-basic-introduction/,True,65,1703,27,8,Beginner Level,1.0,2016-01-18T23:06:45Z,Web Development
1127988,Angular Tutorial For Beginners,https://www.udemy.com/angular-tutorial-for-beginners/,False,0,5397,112,36,Beginner Level,2.5,2017-02-28T04:07:50Z,Web Development
963378,JavaScript For Absolute Beginners - Level Two,https://www.udemy.com/javascript-for-absolute-beginners-level-two/,True,30,424,85,9,Intermediate Level,1.0,2016-09-20T17:59:39Z,Web Development
1239022,How To Create A Real Estate Website With Wordpress 2017,https://www.udemy.com/how-to-create-a-real-estate-website-with-wordpress-2017/,False,0,3782,32,11,Beginner Level,1.5,2017-06-06T14:10:36Z,Web Development
565384,Introduction to Modern Programming with PHP,https://www.udemy.com/introduction-to-modern-programming-with-php/,True,20,954,183,123,Beginner Level,16.0,2015-08-27T19:20:42Z,Web Development
340844,Learn HTML & CSS: How To Start Your Web Development Career,https://www.udemy.com/how-i-landed-a-web-development-job-earned-5k-freelancing/,False,0,15462,689,60,Beginner Level,4.5,2015-09-29T19:46:45Z,Web Development
1227322,React vs Angular vs Vue.js by Example,https://www.udemy.com/react-vs-angular-vs-vuejs-by-example/,False,0,6958,132,30,Beginner Level,3.5,2017-06-02T21:57:07Z,Web Development
1246622,Build and Deploy a LAMP server on AWS,https://www.udemy.com/build-and-deploy-a-lamp-server-on-aws/,False,0,3571,18,8,Beginner Level,1.0,2017-06-19T23:33:54Z,Web Development
1090870,Complete WooCommerce Plugin Tutorial For Wordpress 2017,https://www.udemy.com/complete-woocommerce-plugin-tutorial-for-wordpress-2017/,False,0,7922,183,16,Beginner Level,1.5,2017-01-27T16:47:14Z,Web Development
909244,Docker for Developers - Newest Version 1.12 with Swarm Mode,https://www.udemy.com/docker-for-developers/,True,95,767,104,81,Beginner Level,5.5,2016-07-22T15:37:25Z,Web Development
